term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),3.942612878033914,0.001988387623521095,1982.81905972248,0
destination16TH,0.19344708458646898,6.407200338564222e-4,301.92139212837253,0
destination19TH,-0.03506879869078941,6.768591522664944e-4,-51.81107261881576,0
destination24TH,0.15232621589767537,6.467671874055069e-4,235.51939378484676,0
destinationANTC,-1.0319460187824598,9.255642201401868e-4,-1114.9372418762691,0
destinationASHB,-0.8995986597614084,8.822538566356918e-4,-1019.6596512389957,0
destinationBALB,-0.21039805742085435,7.090884557445423e-4,-296.716235776165,0
destinationBAYF,-0.6281839339831528,8.042686897001086e-4,-781.0622768584795,0
destinationBERY,-1.131509692606356,9.606207719093202e-4,-1177.894259310444,0
destinationCAST,-1.3923444965387854,0.0010633568548003903,-1309.3859227532337,0
destinationCIVC,0.6205690730486134,5.882602308214935e-4,1054.922703481079,0
destinationCOLM,-1.1142721501434798,9.543940613629094e-4,-1167.5178998413492,0
destinationCOLS,-0.6041410867166256,7.980149803534374e-4,-757.054819257972,0
destinationCONC,-0.6548630223999031,8.113277331178801e-4,-807.1498060140343,0
destinationDALY,-0.02795799949937908,6.756380450044233e-4,-41.38014385971418,0
destinationDBRK,0.18083405103273756,6.425545160294392e-4,281.4298966415676,0
destinationDELN,-0.256261348874026,7.182212490496864e-4,-356.80001004300266,0
destinationDUBL,-0.4877205355754174,7.69138594881708e-4,-634.1126798485881,0
destinationEMBR,1.226892833491602,5.394803090220142e-4,2274.2124466335936,0
destinationFRMT,-0.8930962165049202,8.802190722773342e-4,-1014.6294764941525,0
destinationFTVL,-0.21999170533049173,7.109739305328135e-4,-309.42302647528436,0
destinationGLEN,-0.4292812787497985,7.554924207602127e-4,-568.2138787280421,0
destinationHAYW,-0.8024680085240551,8.527339883599913e-4,-941.0531531262058,0
destinationLAFY,-1.1420979257316304,9.64478794016541e-4,-1184.1607434160373,0
destinationLAKE,-0.4662656524403739,7.640643072401032e-4,-610.2439912742218,0
destinationMCAR,-0.26845400130412284,7.207003203344968e-4,-372.49047035184606,0
destinationMLBR,-0.8869056375566859,8.782897949875507e-4,-1009.8097946922603,0
destinationMLPT,-1.3436720339013954,0.0010429295073268148,-1288.3632349663103,0
destinationMONT,0.9947348887755241,5.552318450188409e-4,1791.5667080330547,0
destinationNBRK,-1.007886455126584,9.174170637380614e-4,-1098.613155307904,0
destinationNCON,-2.0768410627783935,0.0014215487737149909,-1460.9706688789163,0
destinationOAKL,-2.0488144047537613,0.001403983915143471,-1459.2862372959567,0
destinationORIN,-1.3942500395059996,0.001064168806290092,-1310.177512500707,0
destinationPCTR,-2.2539230886386012,0.0015390547029832484,-1464.4853651203414,0
destinationPHIL,-0.7328534598802026,8.327007412454936e-4,-880.0922391206874,0
destinationPITT,-0.8863698215783552,8.781231717120866e-4,-1009.3912222475465,0
destinationPLZA,-0.8435593753651236,8.64995427779932e-4,-975.2183055235038,0
destinationPOWL,0.8934604484657387,5.631634025016865e-4,1586.503037123516,0
destinationRICH,-0.7369697088494558,8.338598752219069e-4,-883.8052180569706,0
destinationROCK,-0.6358770466549577,8.06291235631046e-4,-788.6443738375585,0
destinationSANL,-0.4134337170608734,7.518864469135089e-4,-549.8619090130129,0
destinationSBRN,-1.1684667125213184,9.741976444335019e-4,-1199.4144301188333,0
destinationSFIA,-0.0900458032168577,6.865212576422877e-4,-131.16243993099502,0
destinationSHAY,-1.2698715201491515,0.001013079707931761,-1253.4764147449368,0
destinationSSAN,-1.2790383563210301,0.0010167150257011951,-1258.010675546886,0
destinationUCTY,-0.9832623327233045,9.092063683993952e-4,-1081.451216025115,0
destinationWARM,-1.4573880891316309,0.0010916016541299327,-1335.091499374147,0
destinationWCRK,-0.5629685025821266,7.875394253321795e-4,-714.8448502685054,0
destinationWDUB,-1.3541448956186664,0.0010472744789885274,-1293.018136875176,0
destinationWOAK,-0.3219231392676853,7.318307776059316e-4,-439.8874017307742,0
hour1,-1.6462047858489386,0.0047926445935595795,-343.48567971452144,0
hour2,-4.765785168073494,0.020967306151222307,-227.2960166509358,0
hour3,-6.6345405526763885,0.053184312821244514,-124.74619301701716,0
hour4,-6.01615344732543,0.039061255441683033,-154.018435385604,0
hour5,-3.6095786408074666,0.011869565742720904,-304.103681553899,0
hour6,-0.37731140104485583,0.00302098653614939,-124.89675029329476,0
hour7,0.4004296015014488,0.002489938424788641,160.81907789966306,0
hour8,0.7823151339282343,0.0023259882944006503,336.3366599098976,0
hour9,0.9877156181905319,0.0022572036200471123,437.5837471720501,0
hour10,1.1296978753775084,0.0022162951374840737,509.7235725833588,0
hour11,1.283738530119964,0.0021773167116879025,589.5965999015285,0
hour12,1.377410269616051,0.0021560975407921494,638.8441355533438,0
hour13,1.3804451392611337,0.0021554394288264564,640.4471964274711,0
hour14,1.390962901085871,0.0021531725060283686,646.0062522587053,0
hour15,1.422325879007551,0.002146538890836517,662.6136079245522,0
hour16,1.50527330510719,0.0021298748626045866,706.7426033031902,0
hour17,1.5288782460370185,0.002125357505039571,719.3510938332952,0
hour18,1.439031470872759,0.002143081371632411,671.477756244333,0
hour19,1.1989578186715797,0.002198111203265393,545.44911872087,0
hour20,0.8996802245078356,0.0022852140687882436,393.6962566421182,0
hour21,0.7891948394473517,0.0023234846634577404,339.6600166376375,0
hour22,0.6903273686429807,0.0023608919927645983,292.401080082706,0
hour23,0.48993770981701407,0.002446798544258028,200.23622744372022,0
daysunday,-0.07774457521996468,0.0027751920865198786,-28.014123994370866,1.0934021288061871e-172
dayweekday,-0.5804885249958289,0.0022516582371738085,-257.80489925701823,0
is_holidayTRUE,-0.7307551157638742,6.211436091001229e-4,-1176.467253398212,0
is_giants_homeTRUE,0.032141104219553004,1.9857778928141192e-4,161.85649128163402,0
is_as_homeTRUE,0.008076855023467482,1.9717460202185223e-4,40.9629584167861,0
warriors_at_chaseTRUE,-0.019756249875758036,2.775831817901135e-4,-71.17235903253012,0
seasonspring,-0.06047919288886124,2.412682748051422e-4,-250.67196645603997,0
seasonsummer,-0.03173180193931294,2.3663269163566526e-4,-134.0972868963061,0
seasonwinter,-0.13783440747927836,2.360135063246896e-4,-584.0106764468647,0
hour1:daysunday,0.002208258718314431,0.006899722970015352,0.32005034519661557,0.7489301661280753
hour2:daysunday,0.5564267982224973,0.026680780477287048,20.8549670687548,1.373927673347959e-96
hour3:daysunday,0.20404287224822212,0.07285466379556402,2.8006837396269186,0.005099446800587982
hour4:daysunday,-1.915949440735929,0.11243162739838317,-17.04101848447923,4.075716224568641e-65
hour5:daysunday,-2.4908320676909588,0.04386610594294697,-56.78261186280311,0
hour6:daysunday,-4.876818741152071,0.02786528954432504,-175.01410611199873,0
hour7:daysunday,-2.346387622451574,0.006173731678911342,-380.0598640311056,0
hour8:daysunday,-0.2909618040719702,0.0034409377325934944,-84.55886932097062,0
hour9:daysunday,-0.09675793531765609,0.003274267705951123,-29.551015374153543,6.3727539341356265e-192
hour10:daysunday,-0.05696323680657313,0.0032040280848345975,-17.778632177474737,1.0347374181899885e-70
hour11:daysunday,-0.05851394692399718,0.003146671376785818,-18.595506145216383,3.493992879482443e-77
hour12:daysunday,-0.08091819695777623,0.003119134163200951,-25.9425188927223,2.208460152048209e-148
hour13:daysunday,-0.10170111699235698,0.003121809835024867,-32.57761438615843,8.512114300012241e-233
hour14:daysunday,-0.1437598186855104,0.003125942314662304,-45.98927434175663,0
hour15:daysunday,-0.1788224771342071,0.003122057159728526,-57.277131066285904,0
hour16:daysunday,-0.16611843177952554,0.003093709994236989,-53.695540981208175,0
hour17:daysunday,-0.17164372918159532,0.0030875698662841348,-55.591852691633875,0
hour18:daysunday,-0.226104361453737,0.003125400322262759,-72.34412815636996,0
hour19:daysunday,-0.2422671779519476,0.003217675034089099,-75.29261823686049,0
hour20:daysunday,-0.2061421758967729,0.0033474269945222186,-61.582276845501674,0
hour21:daysunday,-0.2503253372377253,0.00342274099386019,-73.13592751738038,0
hour22:daysunday,-0.3757605256496206,0.003532081030290481,-106.38502413369542,0
hour23:daysunday,-0.49885337117867057,0.0037417919392882604,-133.3193772590037,0
hour1:dayweekday,0.0042314145459786175,0.005597720180123756,0.7559174824428377,0.44969867146839304
hour2:dayweekday,0.5522740614781948,0.023079932768378747,23.928755210017425,1.5379457961656523e-126
hour3:dayweekday,2.299686365770309,0.054161260623260966,42.459985962414045,0
hour4:dayweekday,3.3704325256145724,0.03932251744411867,85.71253176769018,0
hour5:dayweekday,4.34987558559796,0.011953682185662597,363.89419745618284,0
hour6:dayweekday,2.2526519512470955,0.003269730586858006,688.9411501672816,0
hour7:dayweekday,2.189259340556054,0.0027673798157152978,791.0946405418462,0
hour8:dayweekday,2.1454559064348184,0.0026152651042278137,820.3588626508624,0
hour9:dayweekday,1.592329769570541,0.002560186028130819,621.9586202230367,0
hour10:dayweekday,0.9120105461888821,0.002538673609101302,359.2468692782199,0
hour11:dayweekday,0.5702354803890506,0.002511967066143074,227.00754642639558,0
hour12:dayweekday,0.47117644141196524,0.0024938273639313097,188.93707248010747,0
hour13:dayweekday,0.520821984582491,0.0024910588546932593,209.07654734902812,0
hour14:dayweekday,0.6628086687232106,0.002483332359596463,266.902924275072,0
hour15:dayweekday,0.9236840628574957,0.00246866802993126,374.16292983030843,0
hour16:dayweekday,1.222753876529734,0.002445773952712446,499.9455796696415,0
hour17:dayweekday,1.4874886932908857,0.002437289140402814,610.3045669193957,0
hour18:dayweekday,1.3053227781469252,0.0024569910886584785,531.2688288420426,0
hour19:dayweekday,0.9237475975515876,0.002520097164468022,366.5523736846018,0
hour20:dayweekday,0.7024355385936762,0.002617696298098102,268.34111317803894,0
hour21:dayweekday,0.574683063120573,0.0026650038984986,215.64060879773416,0
hour22:dayweekday,0.5477402420383466,0.0027062855659493903,202.3955819482022,0
hour23:dayweekday,0.4286636608957648,0.0028080354308005614,152.65607270972157,0
